task,budget,algorithm,c2st_mean,c2st_std,c2st_count,runtime_seconds_mean,runtime_seconds_std
bernoulli_glm,1000,abc_ra,0.9886,0.0025,10,0.2223,0.1093
bernoulli_glm,10000,abc_ra,0.9868,0.003,10,1.911,0.9218
bernoulli_glm,100000,abc_ra,0.9419,0.0079,10,19.9674,10.9409
bernoulli_glm_raw,1000,abc_ra,0.9972,0.0023,10,0.5143,0.0372
bernoulli_glm_raw,10000,abc_ra,0.9979,0.0022,10,2.3478,0.1097
bernoulli_glm_raw,100000,abc_ra,0.9616,0.0233,10,21.0328,0.7448
gaussian_linear,1000,abc_ra,0.9876,0.0009,10,0.0295,0.0065
gaussian_linear,10000,abc_ra,0.9877,0.0013,10,0.0974,0.0416
gaussian_linear,100000,abc_ra,0.9356,0.0064,10,0.7834,0.2436
gaussian_linear_uniform,1000,abc_ra,0.992,0.0032,10,0.0324,0.005
gaussian_linear_uniform,10000,abc_ra,0.991,0.002,10,0.116,0.0247
gaussian_linear_uniform,100000,abc_ra,0.9528,0.0108,10,0.7167,0.0374
gaussian_mixture,1000,abc_ra,0.9119,0.0042,10,0.0208,0.0194
gaussian_mixture,10000,abc_ra,0.9107,0.0035,10,0.0605,0.0352
gaussian_mixture,100000,abc_ra,0.9093,0.0005,10,0.4996,0.0208
slcp,1000,abc_ra,0.9973,0.0018,10,0.0306,0.0061
slcp,10000,abc_ra,0.9956,0.0026,10,0.1027,0.0455
slcp,100000,abc_ra,0.98,0.0047,10,0.7633,0.0636
two_moons,1000,abc_ra,0.9716,0.0045,10,0.0143,0.0051
two_moons,10000,abc_ra,0.9459,0.0157,10,0.0473,0.0228
two_moons,100000,abc_ra,0.9207,0.013,10,0.4908,0.0189
