task	method	budget	obs_id	base_seed	num_post
bernoulli_glm	npe	1000	1	0	10000
bernoulli_glm	npe	1000	2	0	10000
bernoulli_glm	npe	1000	3	0	10000
bernoulli_glm	npe	1000	4	0	10000
bernoulli_glm	npe	1000	5	0	10000
bernoulli_glm	npe	1000	6	0	10000
bernoulli_glm	npe	1000	7	0	10000
bernoulli_glm	npe	1000	8	0	10000
bernoulli_glm	npe	1000	9	0	10000
bernoulli_glm	npe	1000	10	0	10000
bernoulli_glm	npe	10000	1	0	10000
bernoulli_glm	npe	10000	2	0	10000
bernoulli_glm	npe	10000	3	0	10000
bernoulli_glm	npe	10000	4	0	10000
bernoulli_glm	npe	10000	5	0	10000
bernoulli_glm	npe	10000	6	0	10000
bernoulli_glm	npe	10000	7	0	10000
bernoulli_glm	npe	10000	8	0	10000
bernoulli_glm	npe	10000	9	0	10000
bernoulli_glm	npe	10000	10	0	10000
bernoulli_glm	npe	100000	1	0	10000
bernoulli_glm	npe	100000	2	0	10000
bernoulli_glm	npe	100000	3	0	10000
bernoulli_glm	npe	100000	4	0	10000
bernoulli_glm	npe	100000	5	0	10000
bernoulli_glm	npe	100000	6	0	10000
bernoulli_glm	npe	100000	7	0	10000
bernoulli_glm	npe	100000	8	0	10000
bernoulli_glm	npe	100000	9	0	10000
bernoulli_glm	npe	100000	10	0	10000
gaussian_linear	npe	1000	1	0	10000
gaussian_linear	npe	1000	2	0	10000
gaussian_linear	npe	1000	3	0	10000
gaussian_linear	npe	1000	4	0	10000
gaussian_linear	npe	1000	5	0	10000
gaussian_linear	npe	1000	6	0	10000
gaussian_linear	npe	1000	7	0	10000
gaussian_linear	npe	1000	8	0	10000
gaussian_linear	npe	1000	9	0	10000
gaussian_linear	npe	1000	10	0	10000
gaussian_linear	npe	10000	1	0	10000
gaussian_linear	npe	10000	2	0	10000
gaussian_linear	npe	10000	3	0	10000
gaussian_linear	npe	10000	4	0	10000
gaussian_linear	npe	10000	5	0	10000
gaussian_linear	npe	10000	6	0	10000
gaussian_linear	npe	10000	7	0	10000
gaussian_linear	npe	10000	8	0	10000
gaussian_linear	npe	10000	9	0	10000
gaussian_linear	npe	10000	10	0	10000
gaussian_linear	npe	100000	1	0	10000
gaussian_linear	npe	100000	2	0	10000
gaussian_linear	npe	100000	3	0	10000
gaussian_linear	npe	100000	4	0	10000
gaussian_linear	npe	100000	5	0	10000
gaussian_linear	npe	100000	6	0	10000
gaussian_linear	npe	100000	7	0	10000
gaussian_linear	npe	100000	8	0	10000
gaussian_linear	npe	100000	9	0	10000
gaussian_linear	npe	100000	10	0	10000
gaussian_linear_uniform	npe	1000	1	0	10000
gaussian_linear_uniform	npe	1000	2	0	10000
gaussian_linear_uniform	npe	1000	3	0	10000
gaussian_linear_uniform	npe	1000	4	0	10000
gaussian_linear_uniform	npe	1000	5	0	10000
gaussian_linear_uniform	npe	1000	6	0	10000
gaussian_linear_uniform	npe	1000	7	0	10000
gaussian_linear_uniform	npe	1000	8	0	10000
gaussian_linear_uniform	npe	1000	9	0	10000
gaussian_linear_uniform	npe	1000	10	0	10000
gaussian_linear_uniform	npe	10000	1	0	10000
gaussian_linear_uniform	npe	10000	2	0	10000
gaussian_linear_uniform	npe	10000	3	0	10000
gaussian_linear_uniform	npe	10000	4	0	10000
gaussian_linear_uniform	npe	10000	5	0	10000
gaussian_linear_uniform	npe	10000	6	0	10000
gaussian_linear_uniform	npe	10000	7	0	10000
gaussian_linear_uniform	npe	10000	8	0	10000
gaussian_linear_uniform	npe	10000	9	0	10000
gaussian_linear_uniform	npe	10000	10	0	10000
gaussian_linear_uniform	npe	100000	1	0	10000
gaussian_linear_uniform	npe	100000	2	0	10000
gaussian_linear_uniform	npe	100000	3	0	10000
gaussian_linear_uniform	npe	100000	4	0	10000
gaussian_linear_uniform	npe	100000	5	0	10000
gaussian_linear_uniform	npe	100000	6	0	10000
gaussian_linear_uniform	npe	100000	7	0	10000
gaussian_linear_uniform	npe	100000	8	0	10000
gaussian_linear_uniform	npe	100000	9	0	10000
gaussian_linear_uniform	npe	100000	10	0	10000
gaussian_mixture	npe	1000	1	0	10000
gaussian_mixture	npe	1000	2	0	10000
gaussian_mixture	npe	1000	3	0	10000
gaussian_mixture	npe	1000	4	0	10000
gaussian_mixture	npe	1000	5	0	10000
gaussian_mixture	npe	1000	6	0	10000
gaussian_mixture	npe	1000	7	0	10000
gaussian_mixture	npe	1000	8	0	10000
gaussian_mixture	npe	1000	9	0	10000
gaussian_mixture	npe	1000	10	0	10000
gaussian_mixture	npe	10000	1	0	10000
gaussian_mixture	npe	10000	2	0	10000
gaussian_mixture	npe	10000	3	0	10000
gaussian_mixture	npe	10000	4	0	10000
gaussian_mixture	npe	10000	5	0	10000
gaussian_mixture	npe	10000	6	0	10000
gaussian_mixture	npe	10000	7	0	10000
gaussian_mixture	npe	10000	8	0	10000
gaussian_mixture	npe	10000	9	0	10000
gaussian_mixture	npe	10000	10	0	10000
gaussian_mixture	npe	100000	1	0	10000
gaussian_mixture	npe	100000	2	0	10000
gaussian_mixture	npe	100000	3	0	10000
gaussian_mixture	npe	100000	4	0	10000
gaussian_mixture	npe	100000	5	0	10000
gaussian_mixture	npe	100000	6	0	10000
gaussian_mixture	npe	100000	7	0	10000
gaussian_mixture	npe	100000	8	0	10000
gaussian_mixture	npe	100000	9	0	10000
gaussian_mixture	npe	100000	10	0	10000
lotka_volterra	npe	1000	1	0	10000
lotka_volterra	npe	1000	2	0	10000
lotka_volterra	npe	1000	3	0	10000
lotka_volterra	npe	1000	4	0	10000
lotka_volterra	npe	1000	5	0	10000
lotka_volterra	npe	1000	6	0	10000
lotka_volterra	npe	1000	7	0	10000
lotka_volterra	npe	1000	8	0	10000
lotka_volterra	npe	1000	9	0	10000
lotka_volterra	npe	1000	10	0	10000
lotka_volterra	npe	10000	1	0	10000
lotka_volterra	npe	10000	2	0	10000
lotka_volterra	npe	10000	3	0	10000
lotka_volterra	npe	10000	4	0	10000
lotka_volterra	npe	10000	5	0	10000
lotka_volterra	npe	10000	6	0	10000
lotka_volterra	npe	10000	7	0	10000
lotka_volterra	npe	10000	8	0	10000
lotka_volterra	npe	10000	9	0	10000
lotka_volterra	npe	10000	10	0	10000
lotka_volterra	npe	100000	1	0	10000
lotka_volterra	npe	100000	2	0	10000
lotka_volterra	npe	100000	3	0	10000
lotka_volterra	npe	100000	4	0	10000
lotka_volterra	npe	100000	5	0	10000
lotka_volterra	npe	100000	6	0	10000
lotka_volterra	npe	100000	7	0	10000
lotka_volterra	npe	100000	8	0	10000
lotka_volterra	npe	100000	9	0	10000
lotka_volterra	npe	100000	10	0	10000
sir	npe	1000	1	0	10000
sir	npe	1000	2	0	10000
sir	npe	1000	3	0	10000
sir	npe	1000	4	0	10000
sir	npe	1000	5	0	10000
sir	npe	1000	6	0	10000
sir	npe	1000	7	0	10000
sir	npe	1000	8	0	10000
sir	npe	1000	9	0	10000
sir	npe	1000	10	0	10000
sir	npe	10000	1	0	10000
sir	npe	10000	2	0	10000
sir	npe	10000	3	0	10000
sir	npe	10000	4	0	10000
sir	npe	10000	5	0	10000
sir	npe	10000	6	0	10000
sir	npe	10000	7	0	10000
sir	npe	10000	8	0	10000
sir	npe	10000	9	0	10000
sir	npe	10000	10	0	10000
sir	npe	100000	1	0	10000
sir	npe	100000	2	0	10000
sir	npe	100000	3	0	10000
sir	npe	100000	4	0	10000
sir	npe	100000	5	0	10000
sir	npe	100000	6	0	10000
sir	npe	100000	7	0	10000
sir	npe	100000	8	0	10000
sir	npe	100000	9	0	10000
sir	npe	100000	10	0	10000
slcp	npe	1000	1	0	10000
slcp	npe	1000	2	0	10000
slcp	npe	1000	3	0	10000
slcp	npe	1000	4	0	10000
slcp	npe	1000	5	0	10000
slcp	npe	1000	6	0	10000
slcp	npe	1000	7	0	10000
slcp	npe	1000	8	0	10000
slcp	npe	1000	9	0	10000
slcp	npe	1000	10	0	10000
slcp	npe	10000	1	0	10000
slcp	npe	10000	2	0	10000
slcp	npe	10000	3	0	10000
slcp	npe	10000	4	0	10000
slcp	npe	10000	5	0	10000
slcp	npe	10000	6	0	10000
slcp	npe	10000	7	0	10000
slcp	npe	10000	8	0	10000
slcp	npe	10000	9	0	10000
slcp	npe	10000	10	0	10000
slcp	npe	100000	1	0	10000
slcp	npe	100000	2	0	10000
slcp	npe	100000	3	0	10000
slcp	npe	100000	4	0	10000
slcp	npe	100000	5	0	10000
slcp	npe	100000	6	0	10000
slcp	npe	100000	7	0	10000
slcp	npe	100000	8	0	10000
slcp	npe	100000	9	0	10000
slcp	npe	100000	10	0	10000
two_moons	npe	1000	1	0	10000
two_moons	npe	1000	2	0	10000
two_moons	npe	1000	3	0	10000
two_moons	npe	1000	4	0	10000
two_moons	npe	1000	5	0	10000
two_moons	npe	1000	6	0	10000
two_moons	npe	1000	7	0	10000
two_moons	npe	1000	8	0	10000
two_moons	npe	1000	9	0	10000
two_moons	npe	1000	10	0	10000
two_moons	npe	10000	1	0	10000
two_moons	npe	10000	2	0	10000
two_moons	npe	10000	3	0	10000
two_moons	npe	10000	4	0	10000
two_moons	npe	10000	5	0	10000
two_moons	npe	10000	6	0	10000
two_moons	npe	10000	7	0	10000
two_moons	npe	10000	8	0	10000
two_moons	npe	10000	9	0	10000
two_moons	npe	10000	10	0	10000
two_moons	npe	100000	1	0	10000
two_moons	npe	100000	2	0	10000
two_moons	npe	100000	3	0	10000
two_moons	npe	100000	4	0	10000
two_moons	npe	100000	5	0	10000
two_moons	npe	100000	6	0	10000
two_moons	npe	100000	7	0	10000
two_moons	npe	100000	8	0	10000
two_moons	npe	100000	9	0	10000
two_moons	npe	100000	10	0	10000
slcp_distractors	npe	1000	1	0	10000
slcp_distractors	npe	1000	2	0	10000
slcp_distractors	npe	1000	3	0	10000
slcp_distractors	npe	1000	4	0	10000
slcp_distractors	npe	1000	5	0	10000
