task	method	budget	n_total	n_ok	n_error	c2st_mean	c2st_std	runtime_mean_sec	runtime_std_sec
bernoulli_glm	npe	1000	10	10	0	0.8081549942493439	0.09522409631257488	118.27675028326921	15.862093747270762
bernoulli_glm	npe	10000	10	10	0	0.6145449876785278	0.05377813883675535	537.3986131320707	65.88565113789072
bernoulli_glm	npe	100000	10	10	0	0.5711149990558624	0.1423689155264431	14618.296515385387	1965.6096426673757
bernoulli_glm_raw	npe	1000	10	10	0	0.9179850041866302	0.030129706619930162	117.5200865552295	20.68903705946757
bernoulli_glm_raw	npe	10000	10	10	0	0.6814350008964538	0.026776837246386177	584.1459898246452	95.89959632445004
bernoulli_glm_raw	npe	100000	10	10	0	0.5486900091171265	0.023344136228891345	14932.84572538716	1827.9103927991746
gaussian_linear	npe	1000	10	10	0	0.67674999833107	0.050954050981485643	95.776111856012	7.354704607114524
gaussian_linear	npe	10000	10	10	0	0.5480399966239929	0.011597747513470001	316.29224647301015	41.20393053246927
gaussian_linear	npe	100000	10	10	0	0.5083750069141388	0.0029380038909101684	7076.735570303672	1131.1834001733368
gaussian_linear_uniform	npe	1000	10	10	0	0.6795600056648254	0.034978712866757036	112.787691328465	22.143540822535137
gaussian_linear_uniform	npe	10000	10	10	0	0.5507050037384034	0.018682089390623775	377.9881355589372	56.74931747570418
gaussian_linear_uniform	npe	100000	10	10	0	0.5069250047206879	0.0025464843169141246	7491.685182695544	1590.426446298923
gaussian_mixture	npe	1000	10	10	0	0.7012400031089783	0.02076898868183372	94.77696662512608	12.608758917109647
gaussian_mixture	npe	10000	10	10	0	0.5855399966239929	0.06942630563133453	391.95435104798526	67.88474335225413
gaussian_mixture	npe	100000	10	10	0	0.5290799915790558	0.01118851869756178	9078.245064807334	2249.34235784871
slcp	npe	1000	10	10	0	0.9699199974536896	0.023177447617327783	112.77921539917588	25.098966789285395
slcp	npe	10000	10	10	0	0.8481899976730347	0.05767764575299295	514.9762803151273	77.1348474908372
slcp	npe	100000	10	10	0	0.6733100056648255	0.05861723328370552	13990.307676698814	2412.37348577087
two_moons	npe	1000	10	10	0	0.6463250100612641	0.06598306555884921	96.21590485259658	18.867306280696944
two_moons	npe	10000	10	10	0	0.5679600059986114	0.020979481303162743	335.9317668417236	59.09740596914118
two_moons	npe	100000	10	10	0	0.5184599995613098	0.011486195618178095	9627.77529023177	1019.4092882703942
