task	method	budget	obs	seed
gaussian_linear	rej	1000	1	1679051889
gaussian_linear	rej_ra	1000	1	1344878296
gaussian_linear	smc	1000	1	1398815602
gaussian_linear	smc_ra	1000	1	1970386591
gaussian_linear	rej	1000	2	651748255
gaussian_linear	rej_ra	1000	2	227247999
gaussian_linear	smc	1000	2	208737591
gaussian_linear	smc_ra	1000	2	72385016
gaussian_linear	rej	1000	3	549749830
gaussian_linear	rej_ra	1000	3	509607253
gaussian_linear	smc	1000	3	528117661
gaussian_linear	smc_ra	1000	3	1884679480
gaussian_linear	rej	1000	4	1552248597
gaussian_linear	rej_ra	1000	4	1097945940
gaussian_linear	smc	1000	4	1079435532
gaussian_linear	smc_ra	1000	4	217318947
gaussian_linear	rej	1000	5	404815899
gaussian_linear	rej_ra	1000	5	70642306
gaussian_linear	smc	1000	5	673051592
gaussian_linear	smc_ra	1000	5	1244622581
gaussian_linear	rej	1000	6	1697182528
gaussian_linear	rej_ra	1000	6	953012009
gaussian_linear	smc	1000	6	775050017
gaussian_linear	smc_ra	1000	6	1346621006
gaussian_linear	rej	1000	7	1275513840
gaussian_linear	rej_ra	1000	7	1783843243
gaussian_linear	smc	1000	7	832503176
gaussian_linear	smc_ra	1000	7	610443490
gaussian_linear	rej	1000	8	826484587
gaussian_linear	rej_ra	1000	8	1823709950
gaussian_linear	smc	1000	8	1805199542
gaussian_linear	smc_ra	1000	8	1491554937
gaussian_linear	rej	1000	9	146211781
gaussian_linear	rej_ra	1000	9	278288477
gaussian_linear	smc	1000	9	687569245
gaussian_linear	smc_ra	1000	9	115998256
gaussian_linear	rej	1000	10	971418518
gaussian_linear	rej_ra	1000	10	1678776019
gaussian_linear	smc	1000	10	49286007
gaussian_linear	smc_ra	1000	10	620856996
gaussian_linear	rej	10000	1	1359217019
gaussian_linear	rej_ra	10000	1	516845186
gaussian_linear	smc	10000	1	716818891
gaussian_linear	smc_ra	10000	1	610569458
gaussian_linear	rej	10000	2	248336174
gaussian_linear	rej_ra	10000	2	618843611
gaussian_linear	smc	10000	2	1834449188
gaussian_linear	smc_ra	10000	2	1583265824
gaussian_linear	rej	10000	3	488519078
gaussian_linear	rej_ra	10000	3	1338220885
gaussian_linear	smc	10000	3	1773104005
gaussian_linear	smc_ra	10000	3	518732603
gaussian_linear	rej	10000	4	103402243
